"source"	"target"	"relation"	"relation long"	"tabletID"	"museum Nr"	"excavation Nr"	"publication"	"archive"	"text type"	"subtype"	"place of writing"	"date"	"reign"	"reign order"
"P17471"	P17472	"Neighbour of"	"Neighbour of [Šikkūtu]"	"T04558"	"BM 47795(+)"		"Wunsch 2003, no. 29"	"Šangû-Ninurta"	"Legal document"	"purchase"	"Broken/Unclear"	"NN"	NN	null
"P17495"	P17472	"Neighbour of"	"Neighbour of [Šikkūtu]"	"T04558"	"BM 47795(+)"		"Wunsch 2003, no. 29"	"Šangû-Ninurta"	"Legal document"	"purchase"	"Broken/Unclear"	"NN"	NN	null
"P17502"	P17472	"Neighbour of"	"Neighbour of [Šikkūtu]"	"T04558"	"BM 47795(+)"		"Wunsch 2003, no. 29"	"Šangû-Ninurta"	"Legal document"	"purchase"	"Broken/Unclear"	"NN"	NN	null
"P27492"	P27222	"Child of"	"Child of Šarrāya"	"T04561"	"VAT 5365"		"VS 4, 57"	"Rē’i-alpi (Borsippa)"	"Legal document"	"receipt"	"Borsippa"	"27.0. Nabonidus"	Nabonidus	10
"P27222"	P27492	"Mother of"	"Mother of Šamaš-šumu-līšir"	"T04561"	"VAT 5365"		"VS 4, 57"	"Rē’i-alpi (Borsippa)"	"Legal document"	"receipt"	"Borsippa"	"27.0. Nabonidus"	Nabonidus	10
"P24756"	P21060	"Husband of"	"Husband of Immertu"	"T04564"	"VAT 5381"		"VS 4, 70"	"Rē’i-alpi (Borsippa)"	"Legal document"	"promissory note, with pledge and interest"	"Broken/Unclear"	"12.2.01 Cambyses"	Cambyses	12
"P21060"	P24756	"Wife of"	"Wife of Mār-bīti-iddin"	"T04564"	"VAT 5381"		"VS 4, 70"	"Rē’i-alpi (Borsippa)"	"Legal document"	"promissory note, with pledge and interest"	"Broken/Unclear"	"12.2.01 Cambyses"	Cambyses	12
"P22448"	P24474	"Agent of"	"Agent of Nabû-šumu-ukīn"	"T04579"	"BM 94541"		"unpublished"	"Rē’i-alpi (Borsippa)"	"Legal document"	"receipt"	"Borsippa"	"19.1.02 Cyrus"	Cyrus	11
"P24474"	P25404	"Child of"	"Child of Marduk-šumu-ibni"	"T04579"	"BM 94541"		"unpublished"	"Rē’i-alpi (Borsippa)"	"Legal document"	"receipt"	"Borsippa"	"19.1.02 Cyrus"	Cyrus	11
"P25404"	P24474	"Father of"	"Father of Nabû-šumu-ukīn"	"T04579"	"BM 94541"		"unpublished"	"Rē’i-alpi (Borsippa)"	"Legal document"	"receipt"	"Borsippa"	"19.1.02 Cyrus"	Cyrus	11
"P26955"	P24626	"Master of"	"Master of Nabû-lū-salim"	"T04579"	"BM 94541"		"unpublished"	"Rē’i-alpi (Borsippa)"	"Legal document"	"receipt"	"Borsippa"	"19.1.02 Cyrus"	Cyrus	11
"P24474"	P22448	"Represented by"	"Represented by Nabû-mukīn-zēri"	"T04579"	"BM 94541"		"unpublished"	"Rē’i-alpi (Borsippa)"	"Legal document"	"receipt"	"Borsippa"	"19.1.02 Cyrus"	Cyrus	11
"P24626"	P26955	"Slave of"	"Slave of Nabû-šarrūssu-ukīn"	"T04579"	"BM 94541"		"unpublished"	"Rē’i-alpi (Borsippa)"	"Legal document"	"receipt"	"Borsippa"	"19.1.02 Cyrus"	Cyrus	11
"P27368"	P22448	"Neighbour of"	"Neighbour of Nabû-mukīn-zēri"	"T04588"	"Smith College 82"		"SCT 82"	"Rē’i-alpi (Borsippa)"	"Legal document"	"promissory note, with pledge and interest"	"Borsippa"	"20.2.02 Cyrus"	Cyrus	11
"P22448"	P27368	"Neighbour of"	"Neighbour of [...]"	"T04588"	"Smith College 82"		"SCT 82"	"Rē’i-alpi (Borsippa)"	"Legal document"	"promissory note, with pledge and interest"	"Borsippa"	"20.2.02 Cyrus"	Cyrus	11
"P24513"	P21079	"Brother of"	"Brother of Qudāšu"	"T04594"	"BM 82636"		"unpublished"	"Rē’i-alpi (Borsippa)"	"Legal document"	"promissory note, with antichretic pledge"	"Borsippa"	".14.03 Cyrus"	Cyrus	11
"P24513"	P26911	"Husband of"	"Husband of Inbāya"	"T04594"	"BM 82636"		"unpublished"	"Rē’i-alpi (Borsippa)"	"Legal document"	"promissory note, with antichretic pledge"	"Borsippa"	".14.03 Cyrus"	Cyrus	11
"P21079"	P24513	"Sister of"	"Sister of Nabû-šumu-ēreš"	"T04594"	"BM 82636"		"unpublished"	"Rē’i-alpi (Borsippa)"	"Legal document"	"promissory note, with antichretic pledge"	"Borsippa"	".14.03 Cyrus"	Cyrus	11
"P26911"	P24513	"Wife of"	"Wife of Nabû-šumu-ēreš"	"T04594"	"BM 82636"		"unpublished"	"Rē’i-alpi (Borsippa)"	"Legal document"	"promissory note, with antichretic pledge"	"Borsippa"	".14.03 Cyrus"	Cyrus	11
"P22448"	P27148	"Agent of"	"Agent of Nādin-ahi"	"T04624"	"BM 26695"		"unpublished"	"Rē’i-alpi (Borsippa)"	"Legal document"	"receipt"	"Borsippa"	"05.3.05 Cyrus"	Cyrus	11
"P27148"	P22448	"Represented by"	"Represented by Nabû-mukīn-zēri"	"T04624"	"BM 26695"		"unpublished"	"Rē’i-alpi (Borsippa)"	"Legal document"	"receipt"	"Borsippa"	"05.3.05 Cyrus"	Cyrus	11
"P24841"	P21070	"Husband of"	"Husband of Kalbatu"	"T04660"	"AB 241"		"OECT 12, 56"	"Rē’i-alpi (Borsippa)"	"Legal document"	"purchase"	"Borsippa"	"21.13.06 Cyrus"	Cyrus	11
"P21070"	P24841	"Wife of"	"Wife of Taqīš-Gula"	"T04660"	"AB 241"		"OECT 12, 56"	"Rē’i-alpi (Borsippa)"	"Legal document"	"purchase"	"Borsippa"	"21.13.06 Cyrus"	Cyrus	11
"P16221"	P16222	"Master of"	"Master of Pān-Ningal-lūmur"	"T04684"	"BM 131177"	"U. 17238, 19"	"UET 4, 74"	"Sîn-uballiṭ"	"Legal document"	"promissory note, with pledge and without interest"	"Dilbat"	"29.2.06 Nabopolassar"	Nabopolassar	5
"P16222"	P16221	"Slave of"	"Slave of Sîn-uballiṭ"	"T04684"	"BM 131177"	"U. 17238, 19"	"UET 4, 74"	"Sîn-uballiṭ"	"Legal document"	"promissory note, with pledge and without interest"	"Dilbat"	"29.2.06 Nabopolassar"	Nabopolassar	5
"P17542"	P17514	"Broken/Unclear"	"Broken/Unclear Ina-Esagil-nimittī"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17514"	P17542	"Broken/Unclear"	"Broken/Unclear Nabû-nādin-šumi"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17474"	P17472	"Child of"	"Child of Šikkūtu"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17508"	P17492	"Husband of"	"Husband of Nanāya-dīninni"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17471"	P17508	"Master of"	"Master of Būdia"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17472"	P17508	"Master of"	"Master of Būdia"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17474"	P17508	"Master of"	"Master of Būdia"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17472"	P17514	"Master of"	"Master of Ina-Esagil-nimittī"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17542"	P17514	"Master of"	"Master of Ina-Esagil-nimittī"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17472"	P17572	"Master of"	"Master of Na[...]"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17542"	P17572	"Master of"	"Master of Na[...]"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17471"	P17492	"Master of"	"Master of Nanāya-dīninni"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17472"	P17492	"Master of"	"Master of Nanāya-dīninni"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17474"	P17492	"Master of"	"Master of Nanāya-dīninni"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17471"	P17574	"Master of"	"Master of [...]"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17472"	P17574	"Master of"	"Master of [...]"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17474"	P17574	"Master of"	"Master of [...]"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17472"	P17474	"Mother of"	"Mother of Ubārtu"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17492"	P17471	"Slave of"	"Slave of Bēl-nādin-apli"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17508"	P17471	"Slave of"	"Slave of Bēl-nādin-apli"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17574"	P17471	"Slave of"	"Slave of Bēl-nādin-apli"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17514"	P17542	"Slave of"	"Slave of Nabû-nādin-šumi"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17572"	P17542	"Slave of"	"Slave of Nabû-nādin-šumi"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17492"	P17474	"Slave of"	"Slave of Ubārtu"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17508"	P17474	"Slave of"	"Slave of Ubārtu"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17574"	P17474	"Slave of"	"Slave of Ubārtu"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17492"	P17472	"Slave of"	"Slave of Šikkūtu"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17508"	P17472	"Slave of"	"Slave of Šikkūtu"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17514"	P17472	"Slave of"	"Slave of Šikkūtu"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17572"	P17472	"Slave of"	"Slave of Šikkūtu"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17574"	P17472	"Slave of"	"Slave of Šikkūtu"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P17492"	P17508	"Wife of"	"Wife of Būdia"	"T04699"	"BM 46581"		"Wunsch 2003, no. 30"	"Šangû-Ninurta"	"Legal document"	"testament"	"Broken/Unclear"	"NN"	NN	null
"P27862"	P17472	"Child of"	"Child of Šikkūtu"	"T04708"	"BM 46721"		"Wunsch 2003, no. 31"	"Šangû-Ninurta"	"Legal document"	"promissory note"	"Babylon"	"2.5.16 Nabonidus"	Nabonidus	10
"P17500"	P17521	"Master of"	"Master of Kī-Bēl"	"T04708"	"BM 46721"		"Wunsch 2003, no. 31"	"Šangû-Ninurta"	"Legal document"	"promissory note"	"Babylon"	"2.5.16 Nabonidus"	Nabonidus	10
"P17472"	P27862	"Mother of"	"Mother of Anonymous group"	"T04708"	"BM 46721"		"Wunsch 2003, no. 31"	"Šangû-Ninurta"	"Legal document"	"promissory note"	"Babylon"	"2.5.16 Nabonidus"	Nabonidus	10
"P17521"	P17500	"Slave of"	"Slave of Bēl-ikṣur"	"T04708"	"BM 46721"		"Wunsch 2003, no. 31"	"Šangû-Ninurta"	"Legal document"	"promissory note"	"Babylon"	"2.5.16 Nabonidus"	Nabonidus	10
"P17513"	P17492	"Husband of"	"Husband of Dīninni"	"T04711"	"BM 46830"		"Wunsch 2003, no. 32"	"Šangû-Ninurta"	"Legal document"	"promissory note"	"Broken/Unclear"	"14.6.08 Darius I"	Darius I	16
"P17472"	P17492	"Master of"	"Master of Dīninni"	"T04711"	"BM 46830"		"Wunsch 2003, no. 32"	"Šangû-Ninurta"	"Legal document"	"promissory note"	"Broken/Unclear"	"14.6.08 Darius I"	Darius I	16
"P17472"	P17513	"Master of"	"Master of Ina-Esagil-būdia"	"T04711"	"BM 46830"		"Wunsch 2003, no. 32"	"Šangû-Ninurta"	"Legal document"	"promissory note"	"Broken/Unclear"	"14.6.08 Darius I"	Darius I	16
"P17492"	P17472	"Slave of"	"Slave of Šikkūtu"	"T04711"	"BM 46830"		"Wunsch 2003, no. 32"	"Šangû-Ninurta"	"Legal document"	"promissory note"	"Broken/Unclear"	"14.6.08 Darius I"	Darius I	16
"P17513"	P17472	"Slave of"	"Slave of Šikkūtu"	"T04711"	"BM 46830"		"Wunsch 2003, no. 32"	"Šangû-Ninurta"	"Legal document"	"promissory note"	"Broken/Unclear"	"14.6.08 Darius I"	Darius I	16
"P17492"	P17513	"Wife of"	"Wife of Ina-Esagil-būdia"	"T04711"	"BM 46830"		"Wunsch 2003, no. 32"	"Šangû-Ninurta"	"Legal document"	"promissory note"	"Broken/Unclear"	"14.6.08 Darius I"	Darius I	16
"P17549"	P17507	"Brother of"	"Brother of Bissāya"	"T04717"	"BM 46618"		"Wunsch 2003, no. 2"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Babylon"	"11.8.14 Nabonidus"	Nabonidus	10
"P17550"	P17507	"Husband of"	"Husband of Bissāya"	"T04717"	"BM 46618"		"Wunsch 2003, no. 2"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Babylon"	"11.8.14 Nabonidus"	Nabonidus	10
"P17549"	P17474	"Husband of"	"Husband of Ubārtu"	"T04717"	"BM 46618"		"Wunsch 2003, no. 2"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Babylon"	"11.8.14 Nabonidus"	Nabonidus	10
"P17474"	P17543	"Master of"	"Master of Nabû-rēmu-šukun"	"T04717"	"BM 46618"		"Wunsch 2003, no. 2"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Babylon"	"11.8.14 Nabonidus"	Nabonidus	10
"P17549"	P17543	"Master of"	"Master of Nabû-rēmu-šukun"	"T04717"	"BM 46618"		"Wunsch 2003, no. 2"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Babylon"	"11.8.14 Nabonidus"	Nabonidus	10
"P17550"	P17543	"Master of"	"Master of Nabû-rēmu-šukun"	"T04717"	"BM 46618"		"Wunsch 2003, no. 2"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Babylon"	"11.8.14 Nabonidus"	Nabonidus	10
"P17549"	P17557	"Nephew of"	"Nephew of Šākin-šumi"	"T04717"	"BM 46618"		"Wunsch 2003, no. 2"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Babylon"	"11.8.14 Nabonidus"	Nabonidus	10
"P17507"	P17549	"Sister of"	"Sister of Nergal-pir’u-uṣur"	"T04717"	"BM 46618"		"Wunsch 2003, no. 2"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Babylon"	"11.8.14 Nabonidus"	Nabonidus	10
"P17543"	P17549	"Slave of"	"Slave of Nergal-pir’u-uṣur"	"T04717"	"BM 46618"		"Wunsch 2003, no. 2"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Babylon"	"11.8.14 Nabonidus"	Nabonidus	10
"P17543"	P17550	"Slave of"	"Slave of Nergal-uballiṭ"	"T04717"	"BM 46618"		"Wunsch 2003, no. 2"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Babylon"	"11.8.14 Nabonidus"	Nabonidus	10
"P17543"	P17474	"Slave of"	"Slave of Ubārtu"	"T04717"	"BM 46618"		"Wunsch 2003, no. 2"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Babylon"	"11.8.14 Nabonidus"	Nabonidus	10
"P17557"	P17549	"Uncle of"	"Uncle of Nergal-pir’u-uṣur"	"T04717"	"BM 46618"		"Wunsch 2003, no. 2"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Babylon"	"11.8.14 Nabonidus"	Nabonidus	10
"P17474"	P17549	"Wife of"	"Wife of Nergal-pir’u-uṣur"	"T04717"	"BM 46618"		"Wunsch 2003, no. 2"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Babylon"	"11.8.14 Nabonidus"	Nabonidus	10
"P17507"	P17550	"Wife of"	"Wife of Nergal-uballiṭ"	"T04717"	"BM 46618"		"Wunsch 2003, no. 2"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Babylon"	"11.8.14 Nabonidus"	Nabonidus	10
"P17516"	P17496	"Child of"	"Child of Bānītu-ēṭirat"	"T04720"	"BM 46787"		"Wunsch 2003, no. 4"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Broken/Unclear"	".9.25 Darius I"	Darius I	16
"P17516"	P17539	"Child of"	"Child of Nabû-kāṣir"	"T04720"	"BM 46787"		"Wunsch 2003, no. 4"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Broken/Unclear"	".9.25 Darius I"	Darius I	16
"P17551"	P17559	"Child of"	"Child of [...]"	"T04720"	"BM 46787"		"Wunsch 2003, no. 4"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Broken/Unclear"	".9.25 Darius I"	Darius I	16
"P17539"	P17516	"Father of"	"Father of Inbāya"	"T04720"	"BM 46787"		"Wunsch 2003, no. 4"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Broken/Unclear"	".9.25 Darius I"	Darius I	16
"P17539"	P17496	"Husband of"	"Husband of Bānītu-ēṭirat"	"T04720"	"BM 46787"		"Wunsch 2003, no. 4"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Broken/Unclear"	".9.25 Darius I"	Darius I	16
"P17551"	P17516	"Husband of"	"Husband of Inbāya"	"T04720"	"BM 46787"		"Wunsch 2003, no. 4"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Broken/Unclear"	".9.25 Darius I"	Darius I	16
"P17496"	P17516	"Mother of"	"Mother of Inbāya"	"T04720"	"BM 46787"		"Wunsch 2003, no. 4"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Broken/Unclear"	".9.25 Darius I"	Darius I	16
"P17559"	P17551	"Mother of"	"Mother of Nidinti-Bēl"	"T04720"	"BM 46787"		"Wunsch 2003, no. 4"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Broken/Unclear"	".9.25 Darius I"	Darius I	16
"P17496"	P17539	"Wife of"	"Wife of Nabû-kāṣir"	"T04720"	"BM 46787"		"Wunsch 2003, no. 4"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Broken/Unclear"	".9.25 Darius I"	Darius I	16
"P17516"	P17551	"Wife of"	"Wife of Nidinti-Bēl"	"T04720"	"BM 46787"		"Wunsch 2003, no. 4"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Broken/Unclear"	".9.25 Darius I"	Darius I	16
"P17565"	P17515	"Husband of"	"Husband of Ina-Esagi[l-...]"	"T04723"	"BM 47084"		"Wunsch 2003, no. 6"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Broken/Unclear"	"NN"	NN	null
"P17515"	P17565	"Wife of"	"Wife of [...]"	"T04723"	"BM 47084"		"Wunsch 2003, no. 6"	"Šangû-Ninurta"	"Legal document"	"marriage agreement"	"Broken/Unclear"	"NN"	NN	null
"P17522"	P17494	"Child of"	"Child of Aplāya"	"T04726"	"BM 46827"		"Wunsch 2003, no. 10a"	"Šangû-Ninurta"	"Legal document"	"dowry promise"	"Babylon"	"21.2.07 Nabopolassar"	Nabopolassar	5
"P17494"	P17522	"Father of"	"Father of Kurunnu-tabni"	"T04726"	"BM 46827"		"Wunsch 2003, no. 10a"	"Šangû-Ninurta"	"Legal document"	"dowry promise"	"Babylon"	"21.2.07 Nabopolassar"	Nabopolassar	5
"P17518"	P17494	"Neighbour of"	"Neighbour of Aplāya"	"T04726"	"BM 46827"		"Wunsch 2003, no. 10a"	"Šangû-Ninurta"	"Legal document"	"dowry promise"	"Babylon"	"21.2.07 Nabopolassar"	Nabopolassar	5
"P17532"	P17494	"Neighbour of"	"Neighbour of Aplāya"	"T04726"	"BM 46827"		"Wunsch 2003, no. 10a"	"Šangû-Ninurta"	"Legal document"	"dowry promise"	"Babylon"	"21.2.07 Nabopolassar"	Nabopolassar	5
"P17494"	P17518	"Neighbour of"	"Neighbour of Kabti-ilāni-Marduk"	"T04726"	"BM 46827"		"Wunsch 2003, no. 10a"	"Šangû-Ninurta"	"Legal document"	"dowry promise"	"Babylon"	"21.2.07 Nabopolassar"	Nabopolassar	5
"P17532"	P17518	"Neighbour of"	"Neighbour of Kabti-ilāni-Marduk"	"T04726"	"BM 46827"		"Wunsch 2003, no. 10a"	"Šangû-Ninurta"	"Legal document"	"dowry promise"	"Babylon"	"21.2.07 Nabopolassar"	Nabopolassar	5
"P17494"	P17532	"Neighbour of"	"Neighbour of Nabû-ahhē-iddin"	"T04726"	"BM 46827"		"Wunsch 2003, no. 10a"	"Šangû-Ninurta"	"Legal document"	"dowry promise"	"Babylon"	"21.2.07 Nabopolassar"	Nabopolassar	5
"P17518"	P17532	"Neighbour of"	"Neighbour of Nabû-ahhē-iddin"	"T04726"	"BM 46827"		"Wunsch 2003, no. 10a"	"Šangû-Ninurta"	"Legal document"	"dowry promise"	"Babylon"	"21.2.07 Nabopolassar"	Nabopolassar	5
"P17501"	P17569	"Brother of"	"Brother of Anonymous"	"T04738"	"BM 46580"		"Wunsch 2003, no. 11"	"Šangû-Ninurta"	"Legal document"	"court protocol"	"Broken/Unclear"	"NN"	NN	null
"P17529"	P17570	"Brother of"	"Brother of Anonymous"	"T04738"	"BM 46580"		"Wunsch 2003, no. 11"	"Šangû-Ninurta"	"Legal document"	"court protocol"	"Broken/Unclear"	"NN"	NN	null
"P17569"	P17501	"Brother of"	"Brother of Bēl-īpuš"	"T04738"	"BM 46580"		"Wunsch 2003, no. 11"	"Šangû-Ninurta"	"Legal document"	"court protocol"	"Broken/Unclear"	"NN"	NN	null
"P17501"	P17523	"Brother of"	"Brother of Maqartu"	"T04738"	"BM 46580"		"Wunsch 2003, no. 11"	"Šangû-Ninurta"	"Legal document"	"court protocol"	"Broken/Unclear"	"NN"	NN	null
"P17569"	P17523	"Brother of"	"Brother of Maqartu"	"T04738"	"BM 46580"		"Wunsch 2003, no. 11"	"Šangû-Ninurta"	"Legal document"	"court protocol"	"Broken/Unclear"	"NN"	NN	null
"P17570"	P17529	"Brother of"	"Brother of Marduk-šumu-uṣur"	"T04738"	"BM 46580"		"Wunsch 2003, no. 11"	"Šangû-Ninurta"	"Legal document"	"court protocol"	"Broken/Unclear"	"NN"	NN	null
"P17523"	P17569	"Sister of"	"Sister of Anonymous"	"T04738"	"BM 46580"		"Wunsch 2003, no. 11"	"Šangû-Ninurta"	"Legal document"	"court protocol"	"Broken/Unclear"	"NN"	NN	null
"P17523"	P17501	"Sister of"	"Sister of Bēl-īpuš"	"T04738"	"BM 46580"		"Wunsch 2003, no. 11"	"Šangû-Ninurta"	"Legal document"	"court protocol"	"Broken/Unclear"	"NN"	NN	null
"P17506"	P17535	"Child of"	"Child of Nabû-aplu-iddin"	"T04741"	"BM 47552"		"Wunsch 2003, no. 18"	"Šangû-Ninurta"	"Legal document"	"gift"	"Babylon"	"22.9.28 Darius I"	Darius I	16
"P17535"	P17506	"Father of"	"Father of Bēlet"	"T04741"	"BM 47552"		"Wunsch 2003, no. 18"	"Šangû-Ninurta"	"Legal document"	"gift"	"Babylon"	"22.9.28 Darius I"	Darius I	16
"P17487"	P17506	"Husband of"	"Husband of Bēlet"	"T04741"	"BM 47552"		"Wunsch 2003, no. 18"	"Šangû-Ninurta"	"Legal document"	"gift"	"Babylon"	"22.9.28 Darius I"	Darius I	16
"P17487"	P17538	"Neighbour of"	"Neighbour of Nabû-ittannu"	"T04741"	"BM 47552"		"Wunsch 2003, no. 18"	"Šangû-Ninurta"	"Legal document"	"gift"	"Babylon"	"22.9.28 Darius I"	Darius I	16
"P17488"	P17487	"Neighbour of"	"Neighbour of Nādinu"	"T04741"	"BM 47552"		"Wunsch 2003, no. 18"	"Šangû-Ninurta"	"Legal document"	"gift"	"Babylon"	"22.9.28 Darius I"	Darius I	16
"P17489"	P17487	"Neighbour of"	"Neighbour of Nādinu"	"T04741"	"BM 47552"		"Wunsch 2003, no. 18"	"Šangû-Ninurta"	"Legal document"	"gift"	"Babylon"	"22.9.28 Darius I"	Darius I	16
"P17538"	P17487	"Neighbour of"	"Neighbour of Nādinu"	"T04741"	"BM 47552"		"Wunsch 2003, no. 18"	"Šangû-Ninurta"	"Legal document"	"gift"	"Babylon"	"22.9.28 Darius I"	Darius I	16
"P17487"	P17489	"Neighbour of"	"Neighbour of [...]-ēreš"	"T04741"	"BM 47552"		"Wunsch 2003, no. 18"	"Šangû-Ninurta"	"Legal document"	"gift"	"Babylon"	"22.9.28 Darius I"	Darius I	16
"P17487"	P17488	"Neighbour of"	"Neighbour of [Ad]ad-natan"	"T04741"	"BM 47552"		"Wunsch 2003, no. 18"	"Šangû-Ninurta"	"Legal document"	"gift"	"Babylon"	"22.9.28 Darius I"	Darius I	16
"P17506"	P17487	"Wife of"	"Wife of Nādinu"	"T04741"	"BM 47552"		"Wunsch 2003, no. 18"	"Šangû-Ninurta"	"Legal document"	"gift"	"Babylon"	"22.9.28 Darius I"	Darius I	16
