Tablet ID	Orig Tablet ID	Museum nr	Excavation_NR	Publication	Archive	Text type	Subtype	Main Objects	Place of writing	Babylonian date (D.M.Y King)	Julian date	Comments	CDLI	BM	Nabucco	Achemenet	Oracc	Author	Attestation ids	Orig. Attestation ids	
T05015	5015	CBS 5432		BE 9, 96	Murašû	Legal document	promissory note, with pledge and without interest	"bāru; bīt qašti (bow land); eqlu zaqpu u pî šulpi (field planted with palm trees and grain); haṣāru (enclosure, storehouse); haṭru (association); ilku (corvée); kaspu (silver); maškanu (pledge); nadanatu ša bīt šarri (donations to be paid to the royal house); qēmu ša sarri (flour of the king); šīmu (price); suluppū (dates)"	Nippur	25.6.41 Artaxerxes I	424		https://cdli.ucla.edu/P261626			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044930		Rieneke Sonnevelt (07/01/2019)	"""A43511; A43514; A43517; A43520; A43523; A43526; A43529; A43532; A43535; A43538; A43544; A43547; A43550; A43553; A43556"""	"43511; 43514; 43517; 43520; 43523; 43526; 43529; 43532; 43535; 43538; 43544; 43547; 43550; 43553; 43556"	
T05018	5018	CBS 5335		BE 9, 97	Murašû	Legal document	promissory note, with pledge and without interest	"bīt qašti (bow land); eqlu zaqpu u pî šulpi (field planted with palm trees and grain); maškanu (pledge); suluppū (dates)"	Nippur	25.6.41 Artaxerxes I	424		https://cdli.ucla.edu/P261529			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044954		Rieneke Sonnevelt (07/01/2019)	"""A43568; A43571; A43574; A43577; A43580; A43583; A43586; A43589; A43592; A43595"""	"43568; 43571; 43574; 43577; 43580; 43583; 43586; 43589; 43592; 43595"	
T05021	5021	CBS 5433		BE 9, 98	Murašû	Legal document	promissory note, with pledge and without interest	"eqlu zaqpu u pî šulpi (field planted with palm trees and grain); maškanu (pledge); suluppū (dates)"	Nippur	25.6.41 Artaxerxes I	424		https://cdli.ucla.edu/P261627			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044978		Rieneke Sonnevelt (07/01/2019)	"""A43598; A43601; A43604; A43607; A43619; A43622; A43625; A43628; A43631; A43634"""	"43598; 43601; 43604; 43607; 43619; 43622; 43625; 43628; 43631; 43634"	
T05024	5024	VAT 2989		San Nicolò and Ungnad 1929-1935, no. 149	Sîn-ilī (Babylon)	Legal document	broken/uncertain	"broken/unclear; zittu (share)"	Sippar	28.8.33 Nebuchadnezzar II	572	The document is related to a hire contract (so San Nicolò and Ungnad).	-	-	-	-	-	Lidewij van de Peut (07/01/2019)	"""A43610; A43613; A43616; A43637; A43646; A43649; A43652"""	"43610; 43613; 43616; 43637; 43646; 43649; 43652"	
T05027	5027	CBS 5434		BE 9, 99	Murašû	Legal document	lease contract (ana nukuribbūti)	"āṣītu (drainage canal); bīt gapan (orchard); bīt gišimmarī (date palm grove); bīt maškani (pledged property); bīt qašti (bow land); dullu (work); eqlu (field); gišimmaru (date palm grove); harūtu (date palm branch); imittu (assessed rent); itû (neighbour); kamantu (vegetable); kaspu (silver); libbu (heart of date palm); mangāgu (date palm fibres); miṣru (border); nidinti šarri (royal grant); šissinnu (gardener’s remuneration); suluppū (dates); zēru (arable land); zittu (share)"	Nippur	4.8.41 Artaxerxes I	424		https://cdli.ucla.edu/P261628			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045002		Rieneke Sonnevelt (07/01/2019)	"""A43661; A43664; A43682; A43758; A43759; A43760; A43761; A43762; A43763; A43764; A43766; A43767; A43768; A43769; A43770"""	"43661; 43664; 43682; 43758; 43759; 43760; 43761; 43762; 43763; 43764; 43766; 43767; 43768; 43769; 43770"	
T05030	5030	BM 131180	U. 17238, 3	unpublished	Sîn-uballiṭ	Legal document	NN	NN	Babylon	05.12.09 Nabopolassar	616	"See duplicate for contents; cf. UET 4, pl. XXXVI for variants."	-	https://www.britishmuseum.org/collection/object/W_1953-0411-15	-	-		Julia Giessler (07/01/2019)	NN	NN	
T05033	5033	VAT 2990		San Nicolò and Ungnad 1929-1935, no. 396	Sîn-ilī (Babylon)	Legal document	promissory note	"imittu (assessed rent); makṣaru (bundle (of straw)); maškattu (storehouse); sahlû (cress); tibnu (straw); uṭṭatu (barley)"	Adam	02.1.34 Nebuchadnezzar II	571	"Ina muhhi is accidentally omitted by the scribe. An additional clause stating that all the straw belongs to Ṭābia seems to have been added after the text was already entirely written; it is written on the left edge in small script, partly written above the name and title of the king (l.e. 22), and partly below it (l.e.25)."	-	-	-	-	-	Lidewij van de Peut (07/01/2019)	"""A43687; A43690; A43691; A43692; A43693; A43694; A43695; A43696; A43697"""	"43687; 43690; 43691; 43692; 43693; 43694; 43695; 43696; 43697"	
T05036	5036	BM 131172	U. 17238, 12	UET 4, 70	Sîn-uballiṭ	Legal document	promissory note, with interest	kaspu (silver)	Šapīya	09.0.06 Nabopolassar	after 620/619	The excavation number of this tablet is erroneously also assigned to the copy of UET 4, 14. The list of tablets in this publication renders the excavation numbers correctly (see UET 4, p. 68).  The debtor shall pay back the silver in Babylon, and before day 20 of month XII - otherwise he will have to pay interest.	https://cdli.ucla.edu/P414766	https://www.britishmuseum.org/collection/object/W_1953-0411-7	-	-		Julia Giessler (07/01/2019)	"""A43667; A43670; A43673; A43676; A43679; A43688; A43689"""	"43667; 43670; 43673; 43676; 43679; 43688; 43689"	
T05043	5043	UM 52-30-005		UET 4, 6	Sîn-uballiṭ	Legal document	purchase by proxy	"abulli Lugal-gìr-ra (Lugal-gìr-ra Gate); bītu epšu (built house); bītu ruggubu (roofed house); daltu (door); kaspu šibirtu (silver in pieces); kunukku (seal); mahīru (market rate); quppu (chest); sikkūru (lock); sippu (doorframe, doorjambs); ṭuppu (tablet, record)"	Dūr-Šūqīti	08.4.12 Nabopolassar	614	It is not clear, whether this text really belongs to the archive of Sîn-uballiṭ. It is slightly younger than the other texts, but the recipient of the purchase price of the house is Sîn-zēru-iddin/Ningal-ušēzib, who is well known from this archive. 	https://cdli.ucla.edu/P414702		-	-		Julia Giessler (09/01/2019)	"""A43741; A43743; A43747; A43748; A43751; A43756; A43757; A43790; A43791; A43792; A43793; A43794; A43795; A43796; A43797"""	"43741; 43743; 43747; 43748; 43751; 43756; 43757; 43790; 43791; 43792; 43793; 43794; 43795; 43796; 43797"	
T05044	5044	VAT 2991		San Nicolò and Ungnad 1929-1935, no. 524	Sîn-ilī (Babylon)	Legal document	receipt	kaspu (silver)	Not mentioned	21.3.34 Nebuchadnezzar II	571		-	-	-	-	-	Lidewij van de Peut (09/01/2019)	"""A43698; A43699; A43700; A43701"""	"43698; 43699; 43700; 43701"	
T05045	5045	VAT 2992		San Nicolò and Ungnad 1929-1935, no. 704	Sîn-ilī (Babylon)	Legal document	"dispute-related; oath"	"Bēl; dīnu (lawsuit); imittu (assessed rent); sahlû (cress); tahsistu lā mašê (memorandum)"	Babylon	24.3.34 Nebuchadnezzar II	571	Witnesses (mukinnū ša ina pānišunu) are acting as legal authorities here. The litigants make an oath swearing that they will follow their verdict. The scribe is not mentioned.	-	-	-	-	-	Lidewij van de Peut (09/01/2019)	"""A43702; A43703; A43704; A43705; A43706; A43707"""	"43702; 43703; 43704; 43705; 43706; 43707"	
T05046	5046	VAT 2995		San Nicolò and Ungnad 1929-1935, no. 525	Sîn-ilī (Babylon)	Legal document	receipt	broken/unclear	Not mentioned	.5.34 Nebuchadnezzar II	571	The scribe is not mentioned. In obv. 2 it is better to read Ṭā[bia u] Ṣillāya than Ṭāb-ṣillâ which was suggested by San Nicolò and Ungnad.	-	-	-	-	-	Lidewij van de Peut (09/01/2019)	"""A43708; A43709; A43710; A43711; A43712; A43713"""	"43708; 43709; 43710; 43711; 43712; 43713"	
T05047	5047	VAT 2993		San Nicolò and Ungnad 1929-1935, no. 144	Sîn-ilī (Babylon)	Legal document	lease contract (ana idī)	"dannu (vat); idū (rent); kaspu (silver); ṭuppu (tablet, record)"	Ālu-ša-Nādin	13.6.34 Nebuchadnezzar II	571		-	-	-	-	-	Lidewij van de Peut (09/01/2019)	"""A43714; A43715; A43716; A43717; A43718; A43719"""	"43714; 43715; 43716; 43717; 43718; 43719"	
T05048	5048	VAT 2994		San Nicolò and Ungnad 1929-1935, no. 660	Sîn-ilī (Babylon)	Legal document	bond	"(without specification); kaspu (silver); maddattu (rent, compensation)"	Babylon	10.10.34 Nebuchadnezzar II	571		-	-	-	-	-	Lidewij van de Peut (09/01/2019)	"""A43720; A43721; A43722; A43723; A43724; A43725; A43726; A43727; A43728"""	"43720; 43721; 43722; 43723; 43724; 43725; 43726; 43727; 43728"	
T05049	5049	VAT 2997		San Nicolò and Ungnad 1929-1935, no. 749	Sîn-ilī (Babylon)	Administrative document	outgoing	uṭṭatu (barley)	Not mentioned	11.13.35 Nebuchadnezzar II	569		-	-	-	-	-	Lidewij van de Peut (09/01/2019)	"""A43729; A43730; A43731; A43732"""	"43729; 43730; 43731; 43732"	
T05050	5050	VAT 3000		San Nicolò and Ungnad 1929-1935, no. 648	Sîn-ilī (Babylon)	Legal document	"dispute-related; oath; promissory note, with pledge"	"Bēl; bītu (house); broken/unclear; harrānu (business venture); kaspu (silver); maškanu (pledge); qallu (slave); u’iltu (promissory note); uṭṭatu (barley)"	Babylon	03.5.36 Nebuchadnezzar II	569	This remarkable document is a new promissory note which the creditor decided to draw up after a court case had taken place about the owed barley. The debtor also swears an oath that he will not deceive (niklu nakālu) the creditor until he repaid his debt.	-	-	-	-	-	Lidewij van de Peut (09/01/2019)	"""A43733; A43734; A43735; A43736; A43737; A43738; A43739; A43740; A43742; A43744; A43745; A43746; A43749; A43750; A43752; A43753; A43754; A43755"""	"43733; 43734; 43735; 43736; 43737; 43738; 43739; 43740; 43742; 43744; 43745; 43746; 43749; 43750; 43752; 43753; 43754; 43755"	
T05051	5051	VAT 2999		San Nicolò and Ungnad 1929-1935, no. 397	Sîn-ilī (Babylon)	Legal document	promissory note	"biltu ša huṣābi (load of palm-frond ribs); gipû ša uhinni (basket of green dates); gugallu (tax payable to the gugallu); haṣāru (enclosure, storehouse); imittu (assessed rent); kalakku (warehouse, depot); mangāgu (date palm fibres); šissinnu (gardener’s remuneration); suluppū (dates); tuhallu (palm-leaf basket); zittu (share)"	Mar(a)da	15.6.36 Nebuchadnezzar II	569		-	-	-	-	-	Lidewij van de Peut (10/01/2019)	"""A43765; A43771; A43773; A43777; A43785; A43786; A43787; A43788; A43789"""	"43765; 43771; 43773; 43777; 43785; 43786; 43787; 43788; 43789"	
T05052	5052	CBS 5303		BE 9, 100	Murašû	Legal document	promissory note, with pledge and without interest	"bīt qašti (bow land); eqlu zaqpu u pî šulpi (field planted with palm trees and grain); maškanu (pledge); suluppū (dates)"	Nippur	7.8.41 Artaxerxes I	424		https://cdli.ucla.edu/P261497			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045026		Rieneke Sonnevelt (10/01/2019)	"""A43772; A43774; A43775; A43776; A43778; A43779; A43780; A43781; A43782; A43783; A43784"""	"43772; 43774; 43775; 43776; 43778; 43779; 43780; 43781; 43782; 43783; 43784"	
T05053	5053	CBS 5348		BE 9, 101	Murašû	Legal document	lease contract (ana nukuribbūti)	"āṣītu (drainage canal); bīt qašti (bow land); bīt umasupitrû (estate of the crown prince); dullu (work); harūtu (date palm branch); kaspu (silver); libbu (heart of date palm); nappāh sipparri (bronze smith); zēru (arable land); zēru zaqpu u pî šulpi (land planted with palm trees and grain)"	Nippur	16.8.41 Artaxerxes I	424		https://cdli.ucla.edu/P261542			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045050		Rieneke Sonnevelt (10/01/2019)	"""A43954; A43955; A43956; A43957; A43958; A43959; A43960; A43961; A43962; A43963; A43964; A43965; A43966"""	"43954; 43955; 43956; 43957; 43958; 43959; 43960; 43961; 43962; 43963; 43964; 43965; 43966"	
T05054	5054	VAT 2998		San Nicolò and Ungnad 1929-1935, no. 234	Sîn-ilī (Babylon)	Legal document	promissory note, without interest	"bāb kalakki (gate of the warehouse); harrānu (business venture); hubuttūtu (interest free loan); kaspu (silver); u’iltu (promissory note); uṭṭatu (barley)"	Ālu-ša-Nādin	22.13.36 Nebuchadnezzar II	568		-	-	-	-	-	Lidewij van de Peut (14/01/2019)	"""A43805; A43806; A43807; A43808; A43809; A43810"""	"43805; 43806; 43807; 43808; 43809; 43810"	
T05055	5055	VAT 3001		San Nicolò and Ungnad 1929-1935, no. 398	Sîn-ilī (Babylon)	Legal document	promissory note	"biltu ša huṣābi (load of palm-frond ribs); broken/unclear; darīku (pressed dates); imittu (assessed rent); suluppū (dates); tuhallu (palm-leaf basket); u’iltu (promissory note); uhinnu (green dates)"	Ālu-ša-Nabû-šumu-uṣur	15.0.36 Nebuchadnezzar II	569/568		-	-	-	-	-	Lidewij van de Peut (14/01/2019)	"""A43814; A43815; A43816; A43817; A43818; A43819; A43820"""	"43814; 43815; 43816; 43817; 43818; 43819; 43820"	
T05056	5056	VAT 3002		San Nicolò and Ungnad 1929-1935, no. 750	Sîn-ilī (Babylon)	Administrative document	memorandum	"broken/unclear; hubullu (interest); suluppū (dates); šūpeltu (substitute); tahsistu lā mašê (memorandum); u’iltu (promissory note); uṭṭatu (barley); zēru (arable land)"	Not mentioned	15.1.38 Nebuchadnezzar II	567?	The document concerns dates that are probably owned by or at the disposal of Šūqāya.	-	-	-	-	-	Lidewij van de Peut (14/01/2019)	"""A43829; A43830; A43831; A43833; A43835; A43836; A43839; A43840; A43841; A43843"""	"43829; 43830; 43831; 43833; 43835; 43836; 43839; 43840; 43841; 43843"	
T05057	5057	VAT 3014		San Nicolò and Ungnad 1929-1935, no. 399	Sîn-ilī (Babylon)	Legal document	promissory note	"biltu ša huṣābi (load of palm-frond ribs); ešrû (tithe); gugallu (tax payable to the gugallu); harru ša qīpi (canal of the representative); haṣāru (enclosure, storehouse); imittu (assessed rent); suluppū (dates); tuhallu (palm-leaf basket)"	Hursag-kalamma	01.6.37 Nebuchadnezzar II	568		-	-	-	-	-	Lidewij van de Peut (14/01/2019)	"""A43846; A43847; A43848; A43849; A43850; A43851"""	"43846; 43847; 43848; 43849; 43850; 43851"	
T05058	5058	VAT 3003		San Nicolò and Ungnad 1929-1935, no. 400	Sîn-ilī (Babylon)	Legal document	promissory note	"gišimmaru (date palm); imittu (assessed rent); kaspu (silver); libbu (heart of date palm); mahīru (market rate); raṭbu (moist, fresh; live part of date palm); suluppū (dates); uṭṭatu (barley)"	Ālu-ša-Nādin	02.6.37 Nebuchadnezzar II	567		-	-	-	-	-	Lidewij van de Peut (14/01/2019)	"""A43852; A43853; A43855; A43856; A43857; A43858; A43859"""	"43852; 43853; 43855; 43856; 43857; 43858; 43859"	
T05059	5059	VAT 3004		San Nicolò and Ungnad 1929-1935, no. 150	Sîn-ilī (Babylon)	Legal document	"lease contract, hire (ana idī); receipt"	"(without specification); broken/unclear; kaspu (silver); rašûtu (credit)"	Ālu-ša-Nādin	27.12.37 Nebuchadnezzar II	567	Markings on left edge.	-	-	-	-	-	Lidewij van de Peut (14/01/2019)	"""A43863; A43864; A43867; A43868; A43869; A43870"""	"43863; 43864; 43867; 43868; 43869; 43870"	
T05060	5060	VAT 3005		San Nicolò and Ungnad 1929-1935, no. 401	Sîn-ilī (Babylon)	Legal document	promissory note	"broken/unclear; imittu (assessed rent); maškattu (storehouse); uṭṭatu (barley)"	Babylon	08.1.38 Nebuchadnezzar II	567		-	-	-	-	-	Lidewij van de Peut (15/01/2019)	"""A43876; A43877; A43878; A43879; A43880; A43881; A43882; A43883"""	"43876; 43877; 43878; 43879; 43880; 43881; 43882; 43883"	
T05061	5061	VAT 3006		San Nicolò and Ungnad 1929-1935, no. 705	Sîn-ilī (Babylon)	Legal document	deposition	"broken/unclear; kaspu (silver)"	Not mentioned	25.3.38 Nebuchadnezzar II	567	Fragmentary.	-	-	-	-	-	Lidewij van de Peut (15/01/2019)	"""A43886; A43888; A43891; A43892; A43893; A43894; A43895; A43896; A43897"""	"43886; 43888; 43891; 43892; 43893; 43894; 43895; 43896; 43897"	
T05062	5062	VAT 3007		San Nicolò and Ungnad 1929-1935, no. 661	Sîn-ilī (Babylon)	Legal document	bond	"(without specification); amēlūtu (slaves); kaspu (silver); šīmu (price); ṭuppu (tablet, record); u’iltu (promissory note)"	Babylon	18.8.38 Nebuchadnezzar II	567	This document records an agreement between Nabû-šumu-uṣur and Bābunu. Nabû-šumu-uṣur is obliged to give Bābunu a large amount of silver and Bābunu in turn is obliged to give two slaves (who she had bought from Nabû-ahu-iddin) to Nabû-šumu-uṣur, no matter whether the slaves have died or ran away. The document ends with the remark that afterwards (arki ṭuppi ṭuppi) the slaves will belong to Bābunu.	-	-	-	-	-	Lidewij van de Peut (15/01/2019)	"""A43898; A43900; A43901; A43902; A43903; A43904; A43905; A43906; A43907; A43908"""	"43898; 43900; 43901; 43902; 43903; 43904; 43905; 43906; 43907; 43908"	
T05063	5063	VAT 3012		San Nicolò and Ungnad 1929-1935, no. 526	Sîn-ilī (Babylon)	Administrative document	incoming	uṭṭatu (barley)	Not mentioned	22.8.38 Nebuchadnezzar II	567		-	-	-	-	-	Lidewij van de Peut (15/01/2019)	"""A43911; A43913; A43914; A43915; A43916"""	"43911; 43913; 43914; 43915; 43916"	
T05064	5064	VAT 3020		San Nicolò and Ungnad 1929-1935, no. 527	Sîn-ilī (Babylon)	Legal document	receipt	"tahsistu lā mašê (memorandum); uṭṭatu (barley)"	Not mentioned	25.8.38 Nebuchadnezzar II	567?		-	-	-	-	-	Lidewij van de Peut (15/01/2019)	"""A43917; A43918; A43919; A43920; A43922"""	"43917; 43918; 43919; 43920; 43922"	
T05065	5065	VAT 3013		San Nicolò and Ungnad 1929-1935, no. 528	Sîn-ilī (Babylon)	Legal document	receipt	"alpu (cattle); kurummatu (ration); nikkassu (account); uṭṭatu (barley)"	Not mentioned	28.8.38 Nebuchadnezzar II	567		-	-	-	-	-	Lidewij van de Peut (15/01/2019)	"""A43923; A43924; A43926; A43927; A43928"""	"43923; 43924; 43926; 43927; 43928"	
T05066	5066	VAT 3008		San Nicolò and Ungnad 1929-1935, no. 529	Sîn-ilī (Babylon)	Legal document	receipt	"alpu (cattle); broken/unclear; errēšu (farmer); kurummatu (ration); tahsistu lā mašê (memorandum); uṭṭatu (barley); zēru (arable land)"	Not mentioned	17.9.38 Nebuchadnezzar II	567		-	-	-	-	-	Lidewij van de Peut (15/01/2019)	"""A43929; A43930; A43931; A43932; A43933; A43934; A43935"""	"43929; 43930; 43931; 43932; 43933; 43934; 43935"	
T05067	5067	VAT 3017		San Nicolò and Ungnad 1929-1935, no. 48	Sîn-ilī (Babylon)	Legal document	purchase	"eqlu (field); kaspu (silver); mahīru (market rate); rēš zēri (head of the arable land); šīmu (price); zēru (arable land); zēru gišimmaru u tālāni (land with date palms and young date palms); zēru kišubbû taptû (unbuilt land and newly cleared land); zittu (share)"	Babylon	06.10.38 Nebuchadnezzar II	567		-	-	-	-	-	Lidewij van de Peut (15/01/2019)	"""A43936; A43937; A43938; A43939; A43940; A43941; A43942; A43943; A43944; A43945"""	"43936; 43937; 43938; 43939; 43940; 43941; 43942; 43943; 43944; 43945"	
T05068	5068	VAT 3009		San Nicolò and Ungnad 1929-1935, no. 171	Sîn-ilī (Babylon)	Legal document	promissory note	"harrānu (business venture); kaspu (silver); mahīru (market rate); uṭṭatu (barley)"	Ālu-ša-Nādin	15.10.38 Nebuchadnezzar II	567		-	-	-	-	-	Lidewij van de Peut (16/01/2019)	"""A43972; A43974; A43978; A43980; A43985; A43987; A43988; A43989"""	"43972; 43974; 43978; 43980; 43985; 43987; 43988; 43989"	
T05069	5069	CBS 5435		BE 9, 102	Murašû	Legal document	lease contract (ana errēšūti)	"nidinti šarri (royal grant); šaṭāru (record); tamirtu (irrigated farmland); uṭṭatu (barley); zēru (arable land); zēru (seed grain); zēru zaqpu u pî šulpi (land planted with palm trees and grain)"	Nippur	16.8.41 Artaxerxes I	424		https://cdli.ucla.edu/P261629			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045074		Rieneke Sonnevelt (16/01/2019)	"""A43970; A43971; A43973; A43975; A43976; A43977; A43979; A43981; A43983"""	"43970; 43971; 43973; 43975; 43976; 43977; 43979; 43981; 43983"	
T05070	5070	CBS 5311		BE 9, 103	Murašû	Legal document	promissory note, with pledge and without interest	"bīt qašti (bow land); eqlu zaqpu u pî šulpi (field planted with palm trees and grain); maškanu (pledge); rašûtu (credit); suluppū (dates)"	Nippur	17.8.41 Artaxerxes I	424		https://cdli.ucla.edu/P261505			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045098		Rieneke Sonnevelt (16/01/2019)	"""A43990; A43991; A43992; A43993; A43994; A43995; A43996; A43997; A43998; A43999; A44000"""	"43990; 43991; 43992; 43993; 43994; 43995; 43996; 43997; 43998; 43999; 44000"	
T05071	5071	VAT 2982		San Nicolò and Ungnad 1929-1935, no. 172	Sîn-ilī (Babylon)	Legal document	promissory note	"bāb musammihtu (Musammihtu Gate); harrānu (business venture); kaspu (silver); mahīru (market rate); uṭṭatu (barley)"	Ālu-ša-Nādin	15.11.38 Nebuchadnezzar II	[566]	A star and some lines are drawn on the left edge.	-	-	-	-	-	Lidewij van de Peut (16/01/2019)	"""A44005; A44011; A44012; A44013; A44015; A44016; A44017"""	"44005; 44011; 44012; 44013; 44015; 44016; 44017"	
T05072	5072	CBS 5299		BE 9, 104	Murašû	Legal document	promissory note, with pledge and without interest	"eqlu zaqpu u pî šulpi (field planted with palm trees and grain); maškanu (pledge); rašûtu (credit); suluppū (dates); uṭṭatu (barley)"	Nippur	17.8.41 Artaxerxes I	424		https://cdli.ucla.edu/P261493			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045122		Rieneke Sonnevelt (16/01/2019)	"""A44001; A44002; A44003; A44004; A44006; A44007; A44008; A44009; A44010"""	"44001; 44002; 44003; 44004; 44006; 44007; 44008; 44009; 44010"	
T05073	5073	CBS 5260		BE 9, 105	Murašû	Legal document	promissory note, with pledge and without interest	"eqlu zaqpu u pî šulpi (field planted with palm trees and grain); maškanu (pledge); rašûtu (credit); suluppū (dates)"	Nippur	17.8.41 Artaxerxes I	424		https://cdli.ucla.edu/P261454			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045146		Rieneke Sonnevelt (16/01/2019)	"""A44014; A44018; A44019; A44020; A44021; A44022; A44023; A44024; A44025; A44026; A44027"""	"44014; 44018; 44019; 44020; 44021; 44022; 44023; 44024; 44025; 44026; 44027"	
T05074	5074	CBS 5436		BE 9, 106	Murašû	Legal document	receipt	"dannu (vat); eqlu (field); immeru (sheep); kaspu (silver); qaštu (bow land); qēmu (flour); šikaru ṭābu (full-strength beer); sūtu (fixed rent)"	Nippur	22.8.41 Artaxerxes I	424		https://cdli.ucla.edu/P261630			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045170		Rieneke Sonnevelt (16/01/2019)	"""A44028; A44029; A44030; A44031; A44032; A44033; A44034; A44035; A44036; A44037; A44038; A44039; A44040"""	"44028; 44029; 44030; 44031; 44032; 44033; 44034; 44035; 44036; 44037; 44038; 44039; 44040"	
T05075	5075	CBS 5437		BE 9, 107	Murašû	Legal document	lease contract (ana sūti)	"bīt qašti (bow land); kaspu (silver); qaštu gizzatu (gizzatu bow land); zēru gizzatu (gizzatu land); zēru zaqpu u pî šulpi (land planted with palm trees and grain)"	Nippur	6.9.41 Artaxerxes I	424		https://cdli.ucla.edu/P261631			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045194		Rieneke Sonnevelt (16/01/2019)	"""A44041; A44042; A44043; A44044; A44045; A44046; A44047; A44048; A44049; A44050; A44051; A44052; A44053; A44054; A44055; A44056; A44057; A44058; A44059; A44060; A44061; A44062; A44063; A44064; A44065"""	"44041; 44042; 44043; 44044; 44045; 44046; 44047; 44048; 44049; 44050; 44051; 44052; 44053; 44054; 44055; 44056; 44057; 44058; 44059; 44060; 44061; 44062; 44063; 44064; 44065"	
T05076	5076	CBS 5438		BE 9, 108	Murašû	Legal document	lease contract (ana sūti)	"alpu ummānu (mature ox); sūtu (fixed rent); uṭṭatu (barley)"	Nippur	12.10.41 Artaxerxes I	424	Aramaic epigraph: ‘Document of Na'id-Bēl, son of Labanī, pertaining to barley: 37 kurrus on the 5th of Marhešwan'.	https://cdli.ucla.edu/P261632			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045218		Rieneke Sonnevelt (16/01/2019)	"""A44078; A44079; A44080; A44081; A44082; A44083; A44084; A44085; A44086; A44087; A44088; A44089"""	"44078; 44079; 44080; 44081; 44082; 44083; 44084; 44085; 44086; 44087; 44088; 44089"	
T05077	5077	CBS 5388		BE 9, 109	Murašû	Legal document	exchange	"duhnu (millet); iṣṣūr mê (water bird)"	Nippur	17.12.41 Artaxerxes I	423	BE 9, 22 has received museum number CBS 5388 as well. Possibly, the millet that is being exchanged, is used for the fattening of the birds (CAD I-J p.208).	https://cdli.ucla.edu/P261532			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045242		Rieneke Sonnevelt (16/01/2019)	"""A44090; A44091; A44092; A44093; A44094; A44095; A44096; A44097; A44098"""	"44090; 44091; 44092; 44093; 44094; 44095; 44096; 44097; 44098"	
T05078	5078	Unknown (poss. H.V. Hilprecht)		BE 10, 1	Murašû	Legal document	lease contract (ana idī)	"arammu ša Bēl (wharf of Bēl); āṣê šarri (royal exit); bītu (house); dibbu (dispute); idū (rent); kaspu (silver); kaspu peṣû (white silver)"	Babylon	4.12.0 Darius II	423		https://cdli.ucla.edu/P453359			http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132186		Rieneke Sonnevelt (17/01/2019)	"""A44102; A44103; A44104; A44105; A44106; A44107; A44108; A44109; A44110; A44111; A44112; A44113"""	"44102; 44103; 44104; 44105; 44106; 44107; 44108; 44109; 44110; 44111; 44112; 44113"	
T05079	5079	VAT 3010		San Nicolò and Ungnad 1929-1935, no. 649	Sîn-ilī (Babylon)	Administrative document	outgoing	"harrānu (business venture); immeru (sheep); kaspu (silver); nikkassu (account); nishu (expenses, payment for workers)"	Not mentioned	20.12.38 Nebuchadnezzar II	566	The document lists amounts of silver that are withdrawn (nasāhu) from the harrānu(-account) of Nabû-gāmil.	-	-	-	-	-	Lidewij van de Peut (17/01/2019)	"""A44099; A44100; A44101; A44114; A44115; A44116"""	"44099; 44100; 44101; 44114; 44115; 44116"	
